Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
114.0,Probe List,animal,1.0,hippopotamus,hipopótamo,hipopòtam,5.0,2.0,10.0,2.0,2.0,0.88942,800.0,248.0,12.0,0.54902,NA,NA,NA,10.0,5.0,4.0,9.0,3.16075,162.0
116.0,Probe List,hygiene product/health,1.0,inhaler ,inhalador,inhalador,4.0,2.0,9.0,2.0,2.0,1.7788,447.0,NA,8.0,NA,NA,NA,NA,9.0,3.0,4.0,9.0,NA,NA
118.0,Probe List,object,1.0,Box,Caja ,Caixa ,2.0,2.0,5.0,2.0,2.0,NA,NA,NA,3.0,NA,NA,NA,NA,5.0,1.0,NA,6.0,NA,NA
121.0,Probe List,animal,1.0,giraffe,jirafa,girafa,3.0,2.0,6.0,2.0,2.0,1.9712,1433.0,1159.0,7.0,1.4902,0.0,381.0,NA,6.0,2.0,3.0,6.0,0.370705,19.0
123.0,Probe List,kitchen item,1.0,blender,licuadora/batidora,liquadora,4.0,2.0,8.5,2.0,2.0,NA,NA,3662.0,7.0,1.6667,NA,NA,NA,8.5,2.0,4.0,9.0,0.0195108,1.0
128.0,Probe List,hygiene product/health,1.0,mask,máscara,màscara,3.0,6.193,7.0,4.844,4.844,20.0,16628.0,17751.0,4.0,19.8039,NA,NA,NA,7.0,1.0,3.0,7.0,5.32645,273.0
130.0,Probe List,food/veg,1.0,onion,cebolla,ceba,3.0,6.406,7.0,6.433,6.433,6.1779,17256.0,13700.0,5.0,4.2353,632.0,550.0,617.0,7.0,2.0,2.0,4.0,12.3698,634.0
131.0,Probe List,animal,1.0,gorilla,gorila,goril·la,3.0,2.0,6.0,2.0,2.0,4.5433,2906.0,2768.0,7.0,5.549,620.0,554.0,634.0,6.0,3.0,3.0,8.0,1.2682,65.0
132.0,Probe List,hygiene product/health,2.0,shampoo,champú,xampú,2.0,2.0,6.0,2.0,2.0,3.7019,NA,3101.0,7.0,4.2157,NA,NA,NA,6.0,2.0,2.0,5.0,0.526792,27.0
135.0,Probe List,body part,1.0,Nose,Nariz ,Nas ,2.0,2.0,6.0,2.0,2.0,NA,NA,NA,4.0,NA,NA,NA,NA,6.0,1.0,NA,4.0,NA,NA
137.0,Probe List,animal,1.0,bear,oso,ós,2.0,5.342,3.0,6.383,6.383,27.5481,12676.0,53348.0,4.0,57.4118,585.0,526.0,572.0,3.0,1.0,1.0,2.0,9.5798,491.0
138.0,Probe List,office supply,0.0,Pencil sharpener,Sacapuntas,Maquineta,2.0,2.0,10.0,2.0,2.0,NA,NA,NA,16.0,NA,NA,NA,NA,10.0,5.0,NA,9.0,NA,NA
139.0,Probe List,place,1.0,kiosk,quiosco,quiosc,2.0,5.72,7.0,5.771,5.771,NA,1640.0,1070.0,5.0,0.45098,NA,NA,NA,7.0,2.0,2.0,6.0,2.79004,143.0
